h2_fraction,phi,T_in,P,success,Su,Su_cm_s,T_ad,NO_ppm,N2O_ppm,NO2_ppm,error
0.39140048834937813,0.8304074770683196,300.0,101325.0,True,0.24771068470226398,24.7710684702264,1961.6341078142639,10619.45332612033,0.13150223938769562,6.6880769113607705,
0.5015711342232069,0.7020175464729376,300.0,101325.0,True,0.24912042445737095,24.912042445737097,1810.3508859327706,10745.78531398111,0.11648389647631112,12.666364629653883,
0.010064696134581672,0.9334958509890883,300.0,101325.0,True,0.09737254429382598,9.737254429382599,2004.5253797863418,5881.4809417230335,0.08222889768861025,2.0139924698270932,
0.2915428922001072,1.168092904631487,300.0,101325.0,True,0.23920360017032144,23.920360017032145,2044.0475542988395,3159.704239207247,0.11790429546569875,0.026054900570586775,
0.5430209596369384,1.2969974270806963,300.0,101325.0,True,0.537222595145612,53.7222595145612,2048.3765579700444,4747.546985661649,0.29403561136730927,0.02298283422006178,
0.7181022441751935,0.9871549000743427,300.0,101325.0,True,0.9368073954445176,93.68073954445177,2212.8745125033483,13732.82098180325,0.24342102577359986,1.4666319524545932,
0.14840149866577038,1.0745149225781945,300.0,101325.0,True,0.16362087214511922,16.362087214511924,2059.6439066835187,3824.107176766004,0.08269785575149972,0.07181879606851886,
0.772850953346363,1.045151741854768,300.0,101325.0,True,1.180954497143741,118.09544971437408,2235.0946397254747,12702.52479146944,0.3356213001423445,0.6289890511407242,
0.3160601690331574,1.266241218292639,300.0,101325.0,True,0.23127625377326225,23.127625377326225,2004.624276301741,1148.31350725152,0.05305277165416153,0.004922218522660748,
0.9352485425334158,1.0291222373391862,300.0,101325.0,True,1.8551932463587908,185.5193246358791,2325.412745094149,8926.884669780251,0.18681066082623954,0.8033764811548088,
0.2804656917768292,0.7509698268791342,300.0,101325.0,True,0.13979354542109476,13.979354542109476,1836.3742705787001,8095.335971047054,0.10631414477542789,8.174594111469453,
