h2_fraction,phi,success,Su_cm_s,error
0.0,0.2,False,,timeout_near_flammability_limit
0.0,0.4714285714285714,False,,timeout_near_flammability_limit
0.0,0.7428571428571429,True,5.948140252658074,
0.0,1.0142857142857142,True,10.646768385367535,
0.0,1.2857142857142856,True,9.46834164812633,
0.0,1.557142857142857,True,6.053830497659907,
0.0,1.8285714285714285,True,3.8620563448128933,
0.0,2.1,True,2.465906724431879,
0.0,2.3714285714285714,False,,timeout_near_flammability_limit
0.0,2.642857142857143,False,,timeout_near_flammability_limit
0.0,2.914285714285714,False,,timeout_near_flammability_limit
0.0,3.1857142857142855,False,,timeout_near_flammability_limit
0.0,3.4571428571428573,False,,timeout_near_flammability_limit
0.0,3.7285714285714286,False,,timeout_near_flammability_limit
0.0,4.0,False,,timeout_near_flammability_limit
0.25,0.2,False,,timeout_near_flammability_limit
0.25,0.4714285714285714,True,1.6778883150408521,
0.25,0.7428571428571429,True,12.307935629111688,
0.25,1.0142857142857142,True,21.090437808888147,
0.25,1.2857142857142856,True,18.641238691815783,
0.25,1.557142857142857,True,13.16749734435586,
0.25,1.8285714285714285,True,9.38870134202336,
0.25,2.1,True,6.872585308679954,
0.25,2.3714285714285714,True,5.0590379116428705,
0.25,2.642857142857143,True,3.751047338717265,
0.25,2.914285714285714,True,2.85073327074315,
0.25,3.1857142857142855,True,2.1900372113166315,
0.25,3.4571428571428573,False,,timeout_near_flammability_limit
0.25,3.7285714285714286,False,,timeout_near_flammability_limit
0.25,4.0,False,,timeout_near_flammability_limit
0.5,0.2,False,,timeout_near_flammability_limit
0.5,0.4714285714285714,True,5.922915307549191,
0.5,0.7428571428571429,True,28.11524297898817,
0.5,1.0142857142857142,True,48.1344784048197,
0.5,1.2857142857142856,True,45.282664229988676,
0.5,1.557142857142857,True,31.486397736645948,
0.5,1.8285714285714285,True,22.97579920786812,
0.5,2.1,True,17.406178737853896,
0.5,2.3714285714285714,True,13.678654173384308,
0.5,2.642857142857143,True,10.92543141737488,
0.5,2.914285714285714,True,8.829756892864783,
0.5,3.1857142857142855,True,7.265642704847853,
0.5,3.4571428571428573,True,5.9963603598699535,
0.5,3.7285714285714286,True,4.968756259244587,
0.5,4.0,True,4.161435458534349,
0.75,0.2,False,,timeout_near_flammability_limit
0.75,0.4714285714285714,True,15.843355277571236,
0.75,0.7428571428571429,True,61.93789708202553,
0.75,1.0142857142857142,True,107.23102271997608,
0.75,1.2857142857142856,True,121.39396901583142,
0.75,1.557142857142857,True,106.71096539075837,
0.75,1.8285714285714285,True,82.32859528957754,
0.75,2.1,True,60.411437040301216,
0.75,2.3714285714285714,True,45.70220343879421,
0.75,2.642857142857143,True,35.79842739515642,
0.75,2.914285714285714,True,28.63794127503947,
0.75,3.1857142857142855,True,23.55030921934675,
0.75,3.4571428571428573,True,19.672137927188622,
0.75,3.7285714285714286,True,16.597505948959295,
0.75,4.0,True,14.040378271014403,
1.0,0.2,False,,timeout_near_flammability_limit
1.0,0.4714285714285714,True,38.95322983091576,
1.0,0.7428571428571429,True,140.77281692456106,
1.0,1.0142857142857142,True,225.33913587871993,
1.0,1.2857142857142856,True,276.80794400995086,
1.0,1.557142857142857,True,295.749758631688,
1.0,1.8285714285714285,True,292.50359365705003,
1.0,2.1,True,278.49456844862766,
1.0,2.3714285714285714,True,259.9095329466137,
1.0,2.642857142857143,True,240.48345914853547,
1.0,2.914285714285714,True,220.9239474516992,
1.0,3.1857142857142855,True,201.8005936835085,
1.0,3.4571428571428573,True,184.23966686049752,
1.0,3.7285714285714286,True,167.73345144235086,
1.0,4.0,True,152.32944863422057,
