h2_fraction,phi,Su_cm_s_pred,NO_ppm_pred
0.9892144663878175,1.2969974261268455,264.1232716935755,3582.7994500972363
0.9892144663916679,1.293803749586842,263.841146495987,3550.8753470820566
0.9892144658778986,1.2880437124765658,263.3196638380462,3493.623359197906
0.9892144663713406,1.2859701157490913,263.127915724241,3473.135757196772
0.989214436413433,1.2818484660615197,262.74038166868974,3432.6476572271276
0.9892144660171834,1.2739545150339509,261.9742830314344,3356.1435733055187
0.9892144642921199,1.2719899720878984,261.77866669171226,3337.361091012446
0.9892144662663599,1.2690757427487789,261.48481235546546,3309.716991752689
0.989214445578638,1.2633727360352056,260.8968851219262,3256.472899585662
0.9892144663846663,1.2597847860152094,260.5182068382281,3223.629757309329
0.989214445578638,1.2547262648470694,259.97252630311607,3178.3265185906603
0.989214452515242,1.2505923040618234,259.51624930346526,3142.2758359321515
0.989214452515242,1.2430865745845028,258.6635687838854,3079.4107372938324
0.989214452515242,1.2396242060662843,258.25951642392687,3051.6781857573906
0.9892144446203365,1.2371066254563705,257.9614024282085,3032.0674850924315
0.9892144642380967,1.2325349202246685,257.41069858587935,2997.7312634554164
0.9892144663550987,1.2265010080818368,256.6650578962368,2955.1518967330458
0.9892144658196143,1.2209140632577675,255.95529063489374,2918.7601088051115
0.9892144453567412,1.2149345009012342,255.17468006566327,2883.322159699125
0.9892144529006719,1.2039019314624855,253.6766357969027,2828.2785706698514
0.9892144529006719,1.200708029108491,253.22878430029436,2814.9908614342885
0.989214436413433,1.1928239271708387,252.09574505915896,2787.49701702756
0.9892144660171834,1.1825458331494805,250.5595295304908,2763.2502688397562
0.9892144663684022,1.168410835611103,248.33689837261073,2751.56049769332
0.4390756255784031,1.2969963826857844,35.00044908036674,2748.3445200088227
0.4367560545608939,1.296803465851463,34.68694893656358,2707.342668792562
0.4367560545608939,1.2969537751785265,34.679121212929616,2704.4077306702657
0.43459081840012753,1.2969809201567915,34.37901428815738,2662.123757242871
0.43235510752093,1.2966284819441998,34.09208401805074,2625.8910373615763
0.42989804214319444,1.295159791349063,33.835478096436034,2607.0886396304077
0.4299118595238348,1.2969809201567915,33.74439757762612,2572.0460609429138
0.42794280809552426,1.2969917069645736,33.48115641721918,2534.004993406348
0.42449226999584666,1.2969934220713724,33.02689094136536,2467.8013506209254
0.42200048215618996,1.2969771801094023,32.704534418633976,2420.4401576197506
0.4206161257765988,1.2969208220593345,32.52952237020584,2395.0727691532966
0.41782854555935944,1.296747784731407,32.18368365561264,2345.214851431362
0.4159464311628499,1.2969948845951684,31.93497485016733,2304.756294741117
0.4139270419781168,1.2969495307547307,31.685903806914297,2267.3046298945974
0.41146037088081205,1.296977071893607,31.38101302566784,2220.1291521655885
0.4112436371340955,1.2969937247152767,31.353712475768774,2215.725475738751
0.4076895329156961,1.2968028777174105,30.932478601237733,2152.3452205191243
0.4066019704769483,1.2966196676598687,30.81101348612598,2135.3300948424658
0.4027594725509202,1.2969808736309283,30.339398978083608,2056.8091613673396
0.39885322247483895,1.295159791349063,29.9709979973294,2017.7174051897691
0.39885322247483895,1.2969754296912344,29.886576368673957,1984.3994268858514
0.39662566334133037,1.2960980210000437,29.67266427203372,1959.2819898470334
0.39482628739205144,1.2969496474799096,29.42981374409377,1910.702699726411
